30 26
#############
#...........#    #############
#...w...w...######.m........#
#....................r..######
#...........######......#
#.....w.....#    #......#
#...........#    #......#
#.........m.#    #......#
#####..######    ###..###
    #..#           #..#
    #..#           #..#
    #..#          ##..##
  ###..####  #####......#
  #.......#  #k.##......#
  #.......#  #..##...b..#
  #.......#  #..##......##
  #.......#  #..........#
  #.......#  #####......##
  #....@..#      #......#
  #########       ##..##
                   #..#
                   #..#
               #####..######
               #.M.......A.#
               #.s.S..b....#
               #############
